Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
A0A075B5N7	10160.7227	24262.2207	15339.4277	24245.7207	9339.2861	48277.7539	12940.6016	38387.7266	15275.0781	95719.5938	16000.3867	2349.7542	309.5138	0	0	0
A0A075B5R1	9278.3252	6083.314	8878.7861	8832.9277	6286.5752	9560.4521	7628.0195	8185.1426	8646.1191	5561.6465	5119.6313	0	0	0	0	0
A0A075B5R2	9737.7734	9003.8535	12790.0518	9975.0977	8848.9814	15298.0557	9348.0098	13692.7549	13985.2207	17941.8262	9339.918	746.8439	0	0	0	0
A0A075B5S2	12285.793	12414.8691	16165.2256	17766.5664	10983.3789	24327.1074	12501.7695	14527.5889	21787.0879	32396.6328	10643.2939	1214.0609	0	0	0	0
A0A075B5T2	3796.0779000000002	4856.9795	3964.5408	2743.6719	3014.7729	5472.707	3275.7515	3453.2114	4140.8887	5987.2778	2226.0825	0	0	0	0	0
A0A087WPN7	1904.0707	1596.6642	2483.6143	2160.4375	1859.9677	1944.739	1828.0054	1751.8959	2455.4573	1438.2623	1688.4662	0	0	0	0	0
A0A087WQ89	64000.7986	34356.3662	78821.6443	58726.98729999999	52601.1634	32870.448300000004	59226.3658	51244.7988	58209.1177	29762.408	48720.6387	489.508	480.5851	0	0	0
A0A0A6YXW6	2584.5303	3239.7832	3376.2253	2402.4624	2359.1228	3172.5918	2794.5835	3232.0359	3395.2007	4766.6997	2109.0242	0	0	0	0	0
A0A0B4J1G0	2122.6802	2317.9783	2649.6047	2119.3152	1468.3879	3310.9409	1686.6456	2596.136	2725.6675	2700.2083	1813.2122	0	0	0	0	0
A0A0G2JDV3	21254.2441	24762.9287	29852.5352	26481.5743	18456.6738	16166.3218	19438.9366	25163.715799999998	22978.6504	18101.624499999998	17672.7519	0	686.7677	0	0	0
A0A0J9YTR2	15599.0087	11804.6402	20569.042	14278.3003	12855.7016	6157.0105	14630.8013	10155.4951	16399.4766	6663.9854	11721.773000000001	0	0	0	0	0
A0A0J9YUD5	79241.1821	65422.286799999994	105391.7524	82202.0329	64349.513	83697.99100000001	75394.5361	62334.3621	79567.50899999999	65907.3648	67270.0032	0	0	0	0	0
A0A0U1RNF2	24122.4902	16828.3394	34554.6567	20120.369599999998	19380.3947	16621.9528	22450.404599999998	17125.7583	25987.046700000003	14476.4328	19557.0769	0	0	0	0	0
A0A140T8M5	9004.3047	6931.9995	9189.4082	8304.2461	7230.6826	6049.6411	9169.4365	6197.1343	10114.5742	18989.752	7947.1929	501.3181	0	0	0	0
A0A140T8N3	6878.3735	4625.2676	12857.8047	5942.2266	6668.9136	8478.5283	6624.334	6856.9404	6848.9097	4905.7754	6669.1304	0	0	0	0	0
A0A1L1SQU7	3419.6797	3860.0801	4141.2168	4526.5288	3010.4949	3870.3738	3565.2236	3253.405	3890.1497	4021.1282	2600.7358	0	0	0	0	0
A0A1L1SUI3	7930.4448	5561.8633	9304.9248	8171.3535	7007.937	6216.9038	8466.4727	5591.8364	8651.874	5220.3857	6412.7036	0	0	0	0	0
A0A286YCV9	108643.6125	90267.741	145437.4565	107194.5451	90678.58009999999	102099.50779999999	99838.3374	82908.6556	115581.2899	73837.5595	86911.3349	729.3416	914.7738	0	0	0
A0A286YCX6	23702.9784	17843.1	31201.11	25409.714	25541.6625	17209.105	25395.9694	20092.4512	25531.6538	13394.222600000001	19328.266499999998	0	0	0	0	0
A0A2I3BR81	19351.0962	13850.2432	25897.8345	18528.7944	17742.8907	16965.956	17585.7974	14199.429499999998	19083.8286	15537.737099999998	13408.5048	287.0042	0	0	0	0
A0A338P6S8	6042.667	9037.751	10960.6494	9599.4834	5652.6602	8881.499	7610.2676	7240.8784	10291.2383	9060.7383	7702.0005	258.2419	0	0	0	0
A0A494B9V8	10829.937	8265.9707	13301.3328	9225.348399999999	7641.637	7531.4768	10561.4038	9315.4167	8940.6409	6123.8803	7724.8423	0	0	0	0	0
A0A571BF69	135093.55299999999	61449.4583	165087.0922	107006.7501	99300.4232	60895.988	124454.9403	79102.6299	125685.9983	56554.989	117204.5046	266.8633	0	0	0	0
A0A5F8MPH8	26100.1314	32576.1209	39642.1866	34545.390100000004	28357.7212	23393.7388	33165.729	25881.9382	37973.292499999996	25448.9475	32582.9973	253.6193	0	0	0	0
A1L314	3427.6726	4572.8882	4463.6504	4100.2568	2527.8076	6079.0659	2709.7319	3291.3728	2952.1411	3964.146	2048.6826	0	0	0	0	0
A1L317	17202.6094	13779.0352	22409.0469	16715.8223	16892.2402	12543.6025	17444.4766	13216.3281	20032.7305	10180.376	13979.9971	544.9786	0	0	0	0
A2A432	32167.1162	25589.847999999998	46241.771700000005	41187.268000000004	32355.351000000002	26571.2534	40324.0044	27351.9924	39349.7627	28252.6651	25767.1343	586.9169	0	0	0	0
A2A484	2186.7224	1285.3989	3832.0405	2368.678	2383.7598	1863.7632	2708.4434	2066.6084	3221.0164	1834.5879	2802.3455	0	0	0	0	0
A2A5N3	5667.6714	4462.8521	6617.2383	4585.0977	3776.2666	3764.5129	4671.1543	3829.4622	5744.9648	2762.9631	4259.1943	0	0	0	0	0
A2A5R2	41236.1461	27628.2287	50655.1801	36190.7934	35518.699	23667.6874	38990.925	30442.2446	41013.0687	21245.6257	32786.9443	802.4009	467.7282	0	0	0
A2A5Z6	14995.0605	10588.2256	20510.7949	15081.8418	13364.9463	11982.7705	15374.7139	12887.5986	14836.2314	10893.8672	13765.5791	503.0022	412.6103	0	0	0
A2A690	6325.651800000001	3846.1482	6737.4242	6150.436000000001	6025.3588	3194.0351	6466.9652	5375.259599999999	5852.9897	2753.0177	4738.1066	0	0	0	0	0
A2A7B5	8957.7367	7355.099200000001	11507.666799999999	9729.0039	7965.2171	8862.4102	8655.1468	7756.1548999999995	8307.5921	6264.525900000001	8251.2567	0	0	0	0	0
A2A7S8	18255.4627	14912.772200000001	25306.550799999997	21723.7129	18858.6845	18497.338499999998	21086.8527	15674.906500000001	21989.8362	14966.2421	16473.8736	0	0	0	0	0
A2A863	9083.5781	12558.125	10615.7342	12768.123	9692.0029	32739.416100000002	7967.334999999999	13215.6147	11153.8289	20601.970699999998	7158.6004	715.7146	0	0	0	0
A2A8L5	21843.2726	14485.7199	26499.647	20289.1879	20124.3117	16798.7247	22473.0951	16616.9264	20264.45	13000.7827	16729.6093	401.4315	488.2588	0	0	0
A2A8Z1	38950.1157	35111.818400000004	49680.7285	43413.812	36239.3052	29622.909200000002	43115.2915	32359.4038	44079.727	26525.0737	39626.6226	0	0	0	0	0
A2A9C3	2040.6478	1405.4709	2052.4543	1724.9899	1077.317	1574.0157	2250.6211	1391.0322	1532.8738	862.5994	1137.7052	0	0	0	0	0
A2AAY5	30045.770099999998	31454.8822	36483.7252	35710.3039	26581.8454	34890.7352	30911.3624	28434.7219	32556.615	33683.366	24984.2072	1087.312	277.9825	0	0	0
A2ADY9	190638.0031	144504.60270000002	241484.5171	209927.2489	155164.5897	145824.0697	181219.5232	162646.7973	200649.9912	126108.3463	171644.9863	2994.1221	233.3593	0	0	0
A2AGT5	24277.4228	19533.5567	34181.329	26187.3007	19859.3404	18627.012199999997	21258.2949	18721.0122	27289.2203	17120.788099999998	19175.182999999997	253.1812	356.4542	0	0	0
A2AHC3	2508.4519	2577.3816	3262.4548	2518.0337	2598.979	1698.5076	2493.5093	2037.0725	2323.2693	1749.6234	2285.2634	0	0	0	0	0
